Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\igdusc64.dll

File Type: DLL

  Section contains the following exports for igdusc64.dll

    00000000 characteristics
    59E4F055 time date stamp Mon Oct 16 19:45:57 2017
        0.00 version
           1 ordinal base
         464 number of functions
         464 number of names

    ordinal hint RVA      name

          1    0 00094330 ??$DeleteCompilerOutputPixelShaderOpenGL_impl@USCompilerOutputPixelShaderOpenGL_Gen7@USC@@@USC@@YAXAEAPEAUSCompilerOutputPixelShaderOpenGL_Gen7@0@@Z
          2    1 00094330 ??$DeleteCompilerOutputPixelShaderOpenGL_impl@USCompilerOutputPixelShaderOpenGL_Gen7_5@USC@@@USC@@YAXAEAPEAUSCompilerOutputPixelShaderOpenGL_Gen7_5@0@@Z
          3    2 00094360 ??$DeleteCompilerOutputPixelShaderOpenGL_impl@USCompilerOutputPixelShaderOpenGL_Gen8@USC@@@USC@@YAXAEAPEAUSCompilerOutputPixelShaderOpenGL_Gen8@0@@Z
          4    3 00094390 ??$DeleteCompilerOutputPixelShaderOpenGL_impl@USCompilerOutputPixelShaderOpenGL_Gen9@USC@@@USC@@YAXAEAPEAUSCompilerOutputPixelShaderOpenGL_Gen9@0@@Z
          5    4 004FA690 ??0CShaderConstantBufferDecl@USC@@IEAA@I@Z
          6    5 004FBA10 ??0CShaderDecl@USC@@IEAA@XZ
          7    6 00002530 ??0CShaderDecl@USC@@QEAA@AEBV01@@Z
          8    7 004FB9D0 ??0CShaderFiniteDecl@USC@@IEAA@_NI@Z
          9    8 004FA030 ??0CShaderInputDecl@USC@@IEAA@I@Z
         10    9 00505DC0 ??0CShaderInstruction@USC@@QEAA@XZ
         11    A 004FB3E0 ??0CShaderResourceBaseDecl@USC@@IEAA@_NI@Z
         12    B 004FADC0 ??0CShaderResourceDecl@USC@@IEAA@I@Z
         13    C 004FB340 ??0CShaderSamplerDecl@USC@@IEAA@I@Z
         14    D 004FA610 ??1CShaderConstantBufferDecl@USC@@MEAA@XZ
         15    E 004FDD80 ??1CShaderDecl@USC@@MEAA@XZ
         16    F 004FB970 ??1CShaderFiniteDecl@USC@@MEAA@XZ
         17   10 004F9FB0 ??1CShaderInputDecl@USC@@MEAA@XZ
         18   11 00505DB0 ??1CShaderInstruction@USC@@QEAA@XZ
         19   12 004FB380 ??1CShaderResourceBaseDecl@USC@@MEAA@XZ
         20   13 004FAD40 ??1CShaderResourceDecl@USC@@MEAA@XZ
         21   14 004FB2C0 ??1CShaderSamplerDecl@USC@@MEAA@XZ
         22   15 00015500 ??4CComputeShaderIfc@USC@@QEAAAEAV01@AEBV01@@Z
         23   16 00015500 ??4CDomainShaderIfc@USC@@QEAAAEAV01@AEBV01@@Z
         24   17 00015500 ??4CGeometryShaderIfc@USC@@QEAAAEAV01@AEBV01@@Z
         25   18 00015500 ??4CHullShaderIfc@USC@@QEAAAEAV01@AEBV01@@Z
         26   19 00015500 ??4CPixelShaderIfc@USC@@QEAAAEAV01@AEBV01@@Z
         27   1A 00002550 ??4CShaderDecl@USC@@QEAAAEAV01@AEBV01@@Z
