Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\d3dx9_25.dll

File Type: DLL

  Section contains the following exports for d3dx9_25.dll

    00000000 characteristics
    423B6E5C time date stamp Sat Mar 19 01:12:12 2005
        0.00 version
           1 ordinal base
         323 number of functions
         323 number of names

    ordinal hint RVA      name

          1    0 0016A780 D3DXAssembleShader
          2    1 0016A160 D3DXAssembleShaderFromFileA
          3    2 0016A2E0 D3DXAssembleShaderFromFileW
          4    3 0016A460 D3DXAssembleShaderFromResourceA
          5    4 0016A5F0 D3DXAssembleShaderFromResourceW
          6    5 00084070 D3DXBoxBoundProbe
          7    6 0013C4E0 D3DXCheckCubeTextureRequirements
          8    7 0013C490 D3DXCheckTextureRequirements
          9    8 00031FA0 D3DXCheckVersion
         10    9 0013C530 D3DXCheckVolumeTextureRequirements
         11    A 000879B0 D3DXCleanMesh
         12    B 0005A850 D3DXColorAdjustContrast
         13    C 0005A7D0 D3DXColorAdjustSaturation
         14    D 0016B130 D3DXCompileShader
         15    E 0016A900 D3DXCompileShaderFromFileA
         16    F 0016AB00 D3DXCompileShaderFromFileW
         17   10 0016AD10 D3DXCompileShaderFromResourceA
         18   11 0016AF20 D3DXCompileShaderFromResourceW
         19   12 000897F0 D3DXComputeBoundingBox
         20   13 00089430 D3DXComputeBoundingSphere
         21   14 0013E150 D3DXComputeNormalMap
         22   15 000C16B0 D3DXComputeNormals
         23   16 000C17A0 D3DXComputeTangent
         24   17 000C1870 D3DXComputeTangentFrame
         25   18 000C18F0 D3DXComputeTangentFrameEx
         26   19 00260E00 D3DXConcatenateMeshes
         27   1A 000C32B0 D3DXConvertMeshSubsetToSingleStrip
         28   1B 000C3380 D3DXConvertMeshSubsetToStrips
         29   1C 0005EF00 D3DXCpuOptimizations
         30   1D 00047DB0 D3DXCreateAnimationController
         31   1E 001352B0 D3DXCreateBox
         32   1F 00033000 D3DXCreateBuffer
         33   20 00048A20 D3DXCreateCompressedAnimationSet
         34   21 0013C6C0 D3DXCreateCubeTexture
         35   22 00143570 D3DXCreateCubeTextureFromFileA
         36   23 00142650 D3DXCreateCubeTextureFromFileExA
         37   24 00142780 D3DXCreateCubeTextureFromFileExW
         38   25 00142B30 D3DXCreateCubeTextureFromFileInMemory
         39   26 00141850 D3DXCreateCubeTextureFromFileInMemoryEx
         40   27 00143660 D3DXCreateCubeTextureFromFileW
         41   28 00143760 D3DXCreateCubeTextureFromResourceA
         42   29 001428B0 D3DXCreateCubeTextureFromResourceExA
         43   2A 001429F0 D3DXCreateCubeTextureFromResourceExW
         44   2B 00143880 D3DXCreateCubeTextureFromResourceW
         45   2C 00136690 D3DXCreateCylinder
         46   2D 00181E90 D3DXCreateEffect
         47   2E 00180BD0 D3DXCreateEffectCompiler
         48   2F 00180530 D3DXCreateEffectCompilerFromFileA
         49   30 001806D0 D3DXCreateEffectCompilerFromFileW
         50   31 00180870 D3DXCreateEffectCompilerFromResourceA
         51   32 00180A20 D3DXCreateEffectCompilerFromResourceW
         52   33 00181AA0 D3DXCreateEffectEx
