Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\MSFlacEncoder.dll

File Type: DLL

  Section contains the following exports for MSFLACEncoder.dll

    00000000 characteristics
    C5851AE7 time date stamp
        0.00 version
           1 ordinal base
         174 number of functions
         174 number of names

    ordinal hint RVA      name

          1    0 00002630 ??0Application@Metadata@FLAC@@QEAA@AEBUFLAC__StreamMetadata@@@Z
          2    1 000025F0 ??0Application@Metadata@FLAC@@QEAA@AEBV012@@Z
          3    2 00002670 ??0Application@Metadata@FLAC@@QEAA@PEAUFLAC__StreamMetadata@@_N@Z
          4    3 00002630 ??0Application@Metadata@FLAC@@QEAA@PEBUFLAC__StreamMetadata@@@Z
          5    4 00002AB0 ??0Chain@Metadata@FLAC@@QEAA@AEBV012@@Z
          6    5 00002630 ??0CueSheet@Metadata@FLAC@@QEAA@AEBUFLAC__StreamMetadata@@@Z
          7    6 000025F0 ??0CueSheet@Metadata@FLAC@@QEAA@AEBV012@@Z
          8    7 00002670 ??0CueSheet@Metadata@FLAC@@QEAA@PEAUFLAC__StreamMetadata@@_N@Z
          9    8 00002630 ??0CueSheet@Metadata@FLAC@@QEAA@PEBUFLAC__StreamMetadata@@@Z
         10    9 00002B90 ??0Iterator@Metadata@FLAC@@QEAA@AEBV012@@Z
         11    A 00002630 ??0Padding@Metadata@FLAC@@QEAA@AEBUFLAC__StreamMetadata@@@Z
         12    B 000025F0 ??0Padding@Metadata@FLAC@@QEAA@AEBV012@@Z
         13    C 00002670 ??0Padding@Metadata@FLAC@@QEAA@PEAUFLAC__StreamMetadata@@_N@Z
         14    D 00002630 ??0Padding@Metadata@FLAC@@QEAA@PEBUFLAC__StreamMetadata@@@Z
         15    E 00002630 ??0Picture@Metadata@FLAC@@QEAA@AEBUFLAC__StreamMetadata@@@Z
         16    F 000025F0 ??0Picture@Metadata@FLAC@@QEAA@AEBV012@@Z
         17   10 00002670 ??0Picture@Metadata@FLAC@@QEAA@PEAUFLAC__StreamMetadata@@_N@Z
         18   11 00002630 ??0Picture@Metadata@FLAC@@QEAA@PEBUFLAC__StreamMetadata@@@Z
         19   12 00002630 ??0SeekTable@Metadata@FLAC@@QEAA@AEBUFLAC__StreamMetadata@@@Z
         20   13 000025F0 ??0SeekTable@Metadata@FLAC@@QEAA@AEBV012@@Z
         21   14 00002670 ??0SeekTable@Metadata@FLAC@@QEAA@PEAUFLAC__StreamMetadata@@_N@Z
         22   15 00002630 ??0SeekTable@Metadata@FLAC@@QEAA@PEBUFLAC__StreamMetadata@@@Z
         23   16 00002950 ??0SimpleIterator@Metadata@FLAC@@QEAA@AEBV012@@Z
         24   17 00002490 ??0State@Stream@Decoder@FLAC@@QEAA@W4FLAC__StreamDecoderState@@@Z
         25   18 00002490 ??0State@Stream@Encoder@FLAC@@QEAA@W4FLAC__StreamEncoderState@@@Z
         26   19 00002490 ??0Status@Chain@Metadata@FLAC@@QEAA@W4FLAC__Metadata_ChainStatus@@@Z
         27   1A 00002490 ??0Status@SimpleIterator@Metadata@FLAC@@QEAA@W4FLAC__Metadata_SimpleIteratorStatus@@@Z
         28   1B 00002630 ??0StreamInfo@Metadata@FLAC@@QEAA@AEBUFLAC__StreamMetadata@@@Z
         29   1C 000025F0 ??0StreamInfo@Metadata@FLAC@@QEAA@AEBV012@@Z
